rownames.upSet_df_N22.
"B805;B805.1"
"B805;B805.2"
"B805;B805.3"
"B806;B806.1"
"B807;B807.1"
"B808;B808.1"
"B809;B809.1"
"B809;B809.2"
"B809;B809.3"
"B810;B810.1"
"B811;B811.1"
"B812;B812.1"
"B812;B812.2"
"B813;B813.1"
"B814;B814.1"
"B815;B815.1"
"B815;B815.3"
"B815;B815.2"
"B816;B816.1"
"B816;B816.2"
"B817;B817.1"
"B818;B818.1"
"B819;B819.1"
"B820;B820.1"
"B820;B820.2"
"B821;B821.1"
"B822;B822.1"
"B823;B823.1"
"B824;B824.1"
"B825;B825.1"
"B826;B826.1"
"B827;B827.1"
"B828;B828.1"
"B828;B828.10"
"B828;B828.9"
"B828;B828.8"
"B828;B828.7"
"B828;B828.6"
"B828;B828.5"
"B828;B828.4"
"B828;B828.3"
"B828;B828.2"
"B1152;B1152.1"
"B10741;B10741.13"
"B10741;B10741.12"
"B10741;B10741.11"
"B10741;B10741.10"
"B10741;B10741.9"
"B10741;B10741.8"
"B10741;B10741.7"
"B10741;B10741.6"
"B10741;B10741.5"
"B10741;B10741.4"
"B10741;B10741.3"
"B10741;B10741.2"
"B10741;B10741.1"
"B4631;B4631.6"
"B9299;B9299.1"
"B4631;B4631.14"
"B4631;B4631.13"
"B4631;B4631.12"
"B4631;B4631.11"
"B4631;B4631.9"
"B4631;B4631.8"
"B4631;B4631.7"
"B4631;B4631.5"
"B4631;B4631.4"
"B4631;B4631.3"
"B4631;B4631.2"
"B4631;B4631.1"
"B829;B829.1"
"B830;B830.1"
"B831;B831.1"
"B832;B832.1"
"B833;B833.1"
"B834;B834.1"
"B835;B835.1"
"B836;B836.1"
"B836;B836.2"
"B837;B837.1"
"B838;B838.1"
"B839;B839.1"
"B840;B840.1"
"B841;B841.1"
"B842;B842.1"
"B843;B843.1"
"B844;B844.1"
"B845;B845.1"
"B845;B845.2"
"B846;B846.1"
"B847;B847.1"
"B848;B848.1"
"B849;B849.1"
"B850;B850.1"
"B850;B850.2"
"B851;B851.1"
"B851;B851.2"
"B852;B852.1"
"B853;B853.1"
"B854;B854.3"
"B854;B854.1"
"B854;B854.2"
"B854;B854.5"
"B854;B854.4"
"B855;B855.1"
"B856;B856.2"
"B856;B856.1"
"B857;B857.1"
"B857;B857.2"
"B858;B858.1"
